IMAGE,JNAME,RA,DEC,System_Type,Lens_Type,Source_Type,theta_E,theta_EErr,theta_EMethod,theta_ERef,z_L,z_LErr,z_LType,z_LRef,velDisp,velDispErr,velDispRef,z_S,z_SErr,z_SType,z_SRef,mag_u,mag_uErr,mag_uRef,mag_uS,mag_uSRef,mag_g,mag_gErr,mag_gRef,mag_gS,mag_gSRef,mag_r,mag_rErr,mag_rRef,mag_rS,mag_rSRef,mag_i,mag_iErr,mag_iRef,mag_iS,mag_iSRef,mag_z,mag_zErr,mag_zRef,mag_zS,mag_zSRef,mag_y,mag_yErr,mag_yRef,mag_F814W,mag_F814WErr,mag_F814WRef,mag_F814WS,mag_F814WSRef
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J083513.7+120318.0.png"")",J083513.7+120318.0,128.80696,12.05499,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.45370603,0.00010117448,S,SDSS DR17,183.76642,23.972897,SDSS DR17,0.9176433,,S,Talbot et al. (2020) - arXiv:2007.09006,22.640926,0.5601057,SDSS DR17,,,21.269913,,Legacy DR9,,,19.545914,,Legacy DR9,,,18.885782,0.026267808,SDSS DR17,,,18.538647,,Legacy DR9,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J083531.6+035244.0.png"")",J083531.6+035244.0,128.8815,3.8789,,CLUSTER,GALAXY,,,,,0.5610952,0.00013992364,S,SDSS DR17,243.29639,39.226173,SDSS DR17,1.52,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,26.406485,0.96701795,SDSS DR17,,,21.6544724,0.00584039092,HSC Wide DR3,,,19.973423,0.00206312235,HSC Wide DR3,,,18.9115753,0.00129917718,HSC Wide DR3,23.79,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,18.4621391,0.00176539656,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J083628.3+051138.5.png"")",J083628.3+051138.5,129.11808,5.19404,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.5556919,0.00013413344,S,SDSS DR17,238.15257,30.84203,SDSS DR17,1.5749443,,S,Talbot et al. (2020) - arXiv:2007.09006,22.663736,0.6413485,SDSS DR17,,,21.247261,0.00677577406,HSC Wide DR3,,,19.8009377,0.00360873388,HSC Wide DR3,,,18.7939625,0.00239808718,HSC Wide DR3,,,18.3788414,0.00446828781,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J083856.9+020851.0.png"")",J083856.9+020851.0,129.73721,2.1475,,CLUSTER,GALAXY,,,,,0.35987052,7.38336e-05,S,SDSS DR17,257.75055,23.452194,SDSS DR17,2.42,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,21.90796,0.19049,KiDS DR3,,,20.8344898,0.00496360892,HSC Wide DR3,,,19.1028843,0.0021081341,HSC Wide DR3,,,18.4603367,0.00071989838,HSC Wide DR3,22.34,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,18.0844955,0.000955077354,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J083933.4-014044.4.png"")",J083933.4-014044.4,129.889,-1.679,,CLUSTER,GALAXY,,,,,0.269959986,,S,HSC Wide DR3,,,,0.61,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,19.92714,0.06849,KiDS DR3,,,19.5855999,0.00232479535,HSC Wide DR3,,,18.1975193,0.00108435797,HSC Wide DR3,,,17.5150509,0.000712431734,HSC Wide DR3,18.13,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,17.1869392,0.00101860601,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J083938.3+000602.9.png"")",J083938.3+000602.9,129.90971,0.1008,,CLUSTER,GALAXY,,,,,0.27071264,0.00011657304,S,SDSS DR17,258.73807,44.6473,SDSS DR17,1.43,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,21.52096,0.19305,KiDS DR3,,,19.9888,0.00171812845,HSC Wide DR3,,,18.5523834,0.000923853077,HSC Wide DR3,,,17.9407272,0.000512857572,HSC Wide DR3,26.71,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,17.660162,0.000654822798,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J083939.3+022832.9.png"")",J083939.3+022832.9,129.91379,2.4758,,CLUSTER,GALAXY,,,,,0.43064895,0.0,S,SDSS DR17,251.16014,27.464018,SDSS DR17,0.92,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,22.25814,0.23601,KiDS DR3,,,20.9712944,0.0036731055,HSC Wide DR3,,,19.2773705,0.00135207688,HSC Wide DR3,,,18.4893379,0.000767576916,HSC Wide DR3,19.31,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,18.108902,0.0010176982,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J083956.5+020632.4.png"")",J083956.5+020632.4,129.98521,2.109,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.3590613,7.386115e-05,S,SDSS DR17,199.08641,27.606731,SDSS DR17,1.1916333,,S,Talbot et al. (2020) - arXiv:2007.09006,21.73332,0.14429,KiDS DR3,,,20.7927132,0.00231728796,HSC Wide DR3,,,19.2407284,0.000990691711,HSC Wide DR3,,,18.5450211,0.000650839647,HSC Wide DR3,21.94,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,18.2009201,0.000937964185,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J084143.5+081114.2.png"")",J084143.5+081114.2,130.43108,8.18728,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.42358273,7.6790544e-05,S,SDSS DR17,206.44946,20.628426,SDSS DR17,0.9772782,,S,Talbot et al. (2020) - arXiv:2007.09006,22.289936,0.40689352,SDSS DR17,,,20.91852,,Legacy DR9,,,19.180544,,Legacy DR9,,,18.600765,0.016453357,SDSS DR17,,,18.164425,,Legacy DR9,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J084213.4+093822.5.png"")",J084213.4+093822.5,130.55575,9.63959,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.26449817,4.3285385e-05,S,SDSS DR17,243.4314,14.828487,SDSS DR17,0.8103717,,S,Talbot et al. (2020) - arXiv:2007.09006,21.266632,0.16131505,SDSS DR17,,,19.521757,,Legacy DR9,,,18.031755,,Legacy DR9,,,17.697647,0.005656,DELVE DR2,,,17.206528,,Legacy DR9,,,,,,,,,,
