IMAGE,JNAME,RA,DEC,System_Type,Lens_Type,Source_Type,theta_E,theta_EErr,theta_EMethod,theta_ERef,z_L,z_LErr,z_LType,z_LRef,velDisp,velDispErr,velDispRef,z_S,z_SErr,z_SType,z_SRef,mag_u,mag_uErr,mag_uRef,mag_uS,mag_uSRef,mag_g,mag_gErr,mag_gRef,mag_gS,mag_gSRef,mag_r,mag_rErr,mag_rRef,mag_rS,mag_rSRef,mag_i,mag_iErr,mag_iRef,mag_iS,mag_iSRef,mag_z,mag_zErr,mag_zRef,mag_zS,mag_zSRef,mag_y,mag_yErr,mag_yRef,mag_F814W,mag_F814WErr,mag_F814WRef,mag_F814WS,mag_F814WSRef
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085130.1+021823.2.png"")",J085130.1+021823.2,132.87529,2.30646,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.3861936,4.6633228e-05,S,SDSS DR17,220.83478,21.094673,SDSS DR17,1.1348516,,S,Talbot et al. (2020) - arXiv:2007.09006,23.53988,0.57653,KiDS DR3,,,21.1304398,0.0034441608,HSC Wide DR3,,,19.5111809,0.00137326866,HSC Wide DR3,,,18.7855949,0.000837915344,HSC Wide DR3,,,18.4104958,0.00103703642,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085141.9+050507.0.png"")",J085141.9+050507.0,132.92454,5.08528,,,,0.91,,,Leaf et al. (2018) - arXiv:1805.08640,0.12759489,0.0,S,SDSS DR17,176.28224,11.85112,SDSS DR17,0.6371,,S,Leaf et al. (2018) - arXiv:1805.08640,20.24775,0.064274706,SDSS DR17,,,18.3711395,0.00128096773,HSC Wide DR3,,,17.3831882,0.000807505217,HSC Wide DR3,,,16.8776245,0.000418191863,HSC Wide DR3,,,16.5860081,0.000565452327,HSC Wide DR3,,,,,,16.77,0.11,Shu et al. (2017) - arXiv:1711.00072,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085227.1+002437.8.png"")",J085227.1+002437.8,133.113,0.4105,,CLUSTER,GALAXY,,,,,0.108429998,,S,HSC Wide DR3,,,,0.26,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,19.80821,0.0206,KiDS DR3,,,18.9074707,0.000855382998,HSC Wide DR3,,,18.4447861,0.000861444278,HSC Wide DR3,,,18.0415459,0.000696014671,HSC Wide DR3,21.05,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,17.6086159,0.00113600062,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085327.0-023745.0.png"")",J085327.0-023745.0,133.3625,-2.62917,,,,,,,,0.774,,,Sonnenfeld et al. (2013) - arXiv:1307.4764,,,,2.44,,S,Sonnenfeld et al. (2013) - arXiv:1307.4759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085327.9+041910.8.png"")",J085327.9+041910.8,133.36617,4.31968,,,,,,,,0.09563446,0.0,S,SDSS DR17,227.99094,8.736389,SDSS DR17,0.24700388,,S,Talbot et al. (2022) - arXiv:2206.09902,18.744009,0.039917402,SDSS DR17,,,17.0500793,0.000422888581,HSC Wide DR3,,,16.1049328,0.000272269652,HSC Wide DR3,,,15.5632401,0.000174580564,HSC Wide DR3,,,15.2723408,0.000242241571,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085436.6+003833.3.png"")",J085436.6+003833.3,133.65254,0.64258,,,,,,,,0.10696268,0.0,S,SDSS DR17,299.02118,9.80834,SDSS DR17,1.017752,,S,Talbot et al. (2022) - arXiv:2206.09902,18.05255,0.0212,KiDS DR3,,,16.8529892,0.000359236758,HSC Wide DR3,,,15.9026613,0.000248029741,HSC Wide DR3,,,15.4013233,0.000152891822,HSC Wide DR3,,,15.0313263,0.000179615963,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085554.3+005111.0.png"")",J085554.3+005111.0,133.97617,0.85306,,,,,,,,0.052468512,0.0,S,SDSS DR17,0.0,0.0,SDSS DR17,0.20605692,,S,Talbot et al. (2022) - arXiv:2206.09902,17.83456,0.00575,KiDS DR3,,,18.951992,0.001164168,HSC Wide DR3,,,18.194767,0.000854775426,HSC Wide DR3,,,15.48909,,HSC Wide DR3,,,17.483448,0.00121211458,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085559.0-040917.0.png"")",J085559.0-040917.0,133.99583,-4.15472,,,,1.36,,,Leaf et al. (2018) - arXiv:1805.08640,0.419,,S,Leaf et al. (2018) - arXiv:1805.08640,281.0,22.0,Leaf et al. (2018) - arXiv:1805.08640,2.95,,S,Leaf et al. (2018) - arXiv:1805.08640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085600.0-040917.8.png"")",J085600.0-040917.8,133.99967,-4.15493,Single Lens Galaxy,GALAXY,GALAXY,1.36,0.1,SIE model,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,0.419124,0.014975,P,Legacy DR9,,,,2.95,0.01,S,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,22.991,0.078,CFHTLS Wide,,,21.06321,,Legacy DR9,,,19.2404,,Legacy DR9,,,18.89127,0.023038,DELVE DR2,,,18.288052,,Legacy DR9,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085803.0-004058.1.png"")",J085803.0-004058.1,134.5125,-0.6828,,CLUSTER,GALAXY,,,,,0.244980007,,S,HSC Wide DR3,,,,0.36,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,21.77112,0.15039,KiDS DR3,,,19.2875252,0.001165441,HSC Wide DR3,,,17.8565483,0.000587758026,HSC Wide DR3,,,17.283062,0.000396294228,HSC Wide DR3,19.46,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,16.9525681,0.000504649477,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085856.0-010208.5.png"")",J085856.0-010208.5,134.73328,-1.03568,Single Lens Galaxy,GALAXY,GALAXY,1.0,,,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,0.4674695,0.00011627824,S,SDSS DR17,184.74664,27.167465,SDSS DR17,1.421,,S,Shu et al. (2022) - arXiv:2201.11135,21.841,0.019,CFHTLS Wide,,,21.0372086,0.00295738899,HSC Wide DR3,,,19.8150749,0.00166158716,HSC Wide DR3,,,18.8068085,0.000998593052,HSC Wide DR3,21.71,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,18.3687477,0.00134789688,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085920.8+005142.2.png"")",J085920.8+005142.2,134.83683,0.86172,,,,,,,,0.013100303,0.0,S,SDSS DR17,36.834366,39.81381,SDSS DR17,0.27859932,0.00013878012,S,Talbot et al. (2022) - arXiv:2206.09902,18.08981,0.022790696,SDSS DR17,,,17.055275,0.000693686132,HSC Wide DR3,,,16.925148,0.000793641375,HSC Wide DR3,,,17.2501945,0.00105121511,HSC Wide DR3,,,17.0801029,0.00135238213,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J090059.7+035922.2.png"")",J090059.7+035922.2,135.24858,3.9895,,CLUSTER,GALAXY,,,,,0.41193977,0.00010087628,S,SDSS DR17,242.6612,31.533598,SDSS DR17,1.19,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,23.803741,1.6290842,SDSS DR17,,,21.2099533,0.00423625484,HSC Wide DR3,,,19.5286217,0.00164115801,HSC Wide DR3,,,18.7330112,0.000904281856,HSC Wide DR3,21.76,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,18.3603859,0.00122688897,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J090132.9+021708.5.png"")",J090132.9+021708.5,135.38692,2.2857,,CLUSTER,GALAXY,,,,,0.35427025,5.802285e-05,S,SDSS DR17,351.80173,25.072027,SDSS DR17,0.6,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,22.106644,0.58649397,SDSS DR17,,,19.7388458,0.00231280015,HSC Wide DR3,,,18.1722031,0.000839800457,HSC Wide DR3,,,17.5306473,0.000668850204,HSC Wide DR3,19.4,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,17.1705513,0.000772168802,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J090302.9-014127.0.png"")",J090302.9-014127.0,135.76208,-1.69083,Single Lens Galaxy,GALAXY,GALAXY,0.36,0.06,,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,0.883937,0.597851,P,Legacy DR9,,,,2.3049,,S,Negrello et al. (2016) - arXiv:1611.03922,,,,,,24.631134,,Legacy DR9,,,23.97225,,Legacy DR9,,,,,,,,,,,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J090311.6+003906.5.png"")",J090311.6+003906.5,135.79833,0.6518,Single Lens Galaxy,GALAXY,GALAXY,1.56,0.11,,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,0.29969585,4.370042e-05,S,SDSS DR17,243.1775,16.491121,SDSS DR17,3.042,,S,Negrello et al. (2016) - arXiv:1611.03922,23.19682,0.64438,KiDS DR3,,,20.2723885,0.0020197914,HSC Wide DR3,,,18.7912827,0.000914965756,HSC Wide DR3,,,18.1966248,0.000665478874,HSC Wide DR3,,,17.8614235,0.000755226065,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J090403.7+033505.0.png"")",J090403.7+033505.0,136.01546,3.58472,,,,,,,,0.026674291,0.0,S,SDSS DR17,140.67152,2.8999703,SDSS DR17,0.13597247,,S,Talbot et al. (2022) - arXiv:2206.09902,16.534966,0.0106759565,SDSS DR17,,,16.970789,0.000389333756,HSC Wide DR3,,,16.1136303,0.000234619351,HSC Wide DR3,,,13.7413902,,HSC Wide DR3,,,15.3266201,0.000330187497,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J090407.0-005952.0.png"")",J090407.0-005952.0,136.02917,-0.99778,,,,1.4,,,Leaf et al. (2018) - arXiv:1805.08640,0.611,,S,Leaf et al. (2018) - arXiv:1805.08640,183.0,21.0,Leaf et al. (2018) - arXiv:1805.08640,2.36,,S,Leaf et al. (2018) - arXiv:1805.08640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J090827.5+011606.2.png"")",J090827.5+011606.2,137.11471,1.2684,,CLUSTER,GALAXY,,,,,0.294059992,,S,HSC Wide DR3,,,,0.47,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,22.56573,0.37519,KiDS DR3,,,20.7320976,0.00255059614,HSC Wide DR3,,,19.2459507,0.0010825335,HSC Wide DR3,,,18.6319637,0.000800348062,HSC Wide DR3,20.68,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,18.3020096,0.00111795287,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J090908.2+131610.5.png"")",J090908.2+131610.5,137.28408,13.26958,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.40882978,0.00017576982,S,SDSS DR17,171.93626,36.7041,SDSS DR17,1.0781064,,S,Talbot et al. (2020) - arXiv:2007.09006,22.50471,0.96582747,SDSS DR17,,,21.441006,,Legacy DR9,,,20.078474,,Legacy DR9,,,18.687235,0.020183,DELVE DR2,,,19.190256,,Legacy DR9,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J090956.0+104046.1.png"")",J090956.0+104046.1,137.48317,10.67949,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.3030055,4.8425823e-05,S,SDSS DR17,299.62628,21.003597,SDSS DR17,0.85254055,,S,Talbot et al. (2020) - arXiv:2007.09006,23.058058,0.9371948,SDSS DR17,,,20.09203,,Legacy DR9,,,18.45924,,Legacy DR9,,,17.982454,0.01033,DELVE DR2,,,17.595877,,Legacy DR9,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J091053.1+052023.2.png"")",J091053.1+052023.2,137.72129,5.33978,,,,,,,,0.2705368,0.0,S,SDSS DR17,287.05832,28.418915,SDSS DR17,1.0741,,S,Bolton et al. (2008) - arXiv:0805.1931,21.051466,0.2419264,SDSS DR17,,,19.131369,,Legacy DR9,,,17.71603,,Legacy DR9,,,17.2984447,0.000969984685,HSC Wide DR3,,,17.0231857,0.00171463063,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J091126.0-004509.1.png"")",J091126.0-004509.1,137.85844,-0.75254,,,GALAXY,,,,,0.270000011,0.0423440188,P,HSC Wide DR3,,,,0.48,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,22.51145,0.36146,KiDS DR3,,,21.2631416,0.0105303824,HSC Wide DR3,,,19.6535282,0.00464505376,HSC Wide DR3,,,18.906992,0.00249516219,HSC Wide DR3,18.85,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,18.3568249,0.00409077015,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J091127.0+055052.0.png"")",J091127.0+055052.0,137.8625,5.84778,Single Lens Galaxy,GALAXY,QUASAR,2.47,,,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,0.77,,,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,,,,2.8,,,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,,,,,,,,,,,,,,,,,,,,,20.47,,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,17.39,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J091205.3+002901.2.png"")",J091205.3+002901.2,138.02211,0.48367,Single Lens Galaxy,GALAXY,GALAXY,1.63,,,Leaf et al. (2018) - arXiv:1805.08640,0.16419417,0.0,S,SDSS DR17,309.71875,11.792473,SDSS DR17,0.324,,S,Leaf et al. (2018) - arXiv:1805.08640,19.56738,0.03165,KiDS DR3,,,17.2935486,0.000416349038,HSC Wide DR3,,,16.145359,0.000259998837,HSC Wide DR3,,,15.6776209,0.00015878609,HSC Wide DR3,,,15.3101616,0.000214002663,HSC Wide DR3,,,,,,15.57,,Bolton et al. (2008) - arXiv:0805.1931,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J091314.8+034848.6.png"")",J091314.8+034848.6,138.31158,3.8135,,CLUSTER,GALAXY,,,,,0.45296156,0.0,S,SDSS DR17,850.0,-3.0,SDSS DR17,1.08,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,25.419739,1.018102,SDSS DR17,,,20.9726505,0.00723938784,HSC Wide DR3,,,19.5826225,0.00266183866,HSC Wide DR3,,,18.8449955,0.00156660809,HSC Wide DR3,25.11,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,18.3200493,0.00190575374,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J091431.9+050857.1.png"")",J091431.9+050857.1,138.63308,5.14919,,,,,,,,0.13555114,0.0,S,SDSS DR17,209.33353,11.432072,SDSS DR17,0.4034,,S,Shu et al. (2017) - arXiv:1711.00072,19.049831,0.05731996,SDSS DR17,,,17.8080597,0.00110205018,HSC Wide DR3,,,16.787796,0.000609373208,HSC Wide DR3,,,16.2546196,0.000385909749,HSC Wide DR3,,,15.9267159,0.000565838534,HSC Wide DR3,,,,,,15.44,0.1,Shu et al. (2017) - arXiv:1711.00072,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J091516.6-005500.6.png"")",J091516.6-005500.6,138.81917,-0.91684,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.40221173,5.626688e-05,S,SDSS DR17,216.32921,16.287992,SDSS DR17,1.1705395,,S,Talbot et al. (2020) - arXiv:2007.09006,21.831,0.11595,KiDS DR3,,,21.4553452,0.00588322571,HSC Wide DR3,,,19.7077942,0.00200866815,HSC Wide DR3,,,18.7933807,0.000809064833,HSC Wide DR3,,,18.4447231,0.00125793566,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J091947.3+090955.6.png"")",J091947.3+090955.6,139.94702,9.16544,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.41449177,0.00010026587,S,SDSS DR17,257.4636,35.85111,SDSS DR17,1.045822,,S,Talbot et al. (2020) - arXiv:2007.09006,20.877817,0.18993531,SDSS DR17,,,19.768883,,Legacy DR9,,,18.290071,,Legacy DR9,,,18.584373,0.019989,DELVE DR2,,,17.332743,,Legacy DR9,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J092252.2+034018.1.png"")",J092252.2+034018.1,140.71758,3.6717,,CLUSTER,GALAXY,,,,,0.2689311,0.0,S,SDSS DR17,326.05756,23.703053,SDSS DR17,0.74,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,22.679766,0.6324543,SDSS DR17,,,19.8075714,0.00124132109,HSC Wide DR3,,,18.3058968,0.000483219279,HSC Wide DR3,,,17.6926765,0.000335289631,HSC Wide DR3,19.49,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,17.3778114,0.000492177904,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J092324.2+141156.6.png"")",J092324.2+141156.6,140.85096,14.19906,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.45303977,0.00010121511,S,SDSS DR17,254.10484,27.563683,SDSS DR17,1.2885885,,S,Talbot et al. (2020) - arXiv:2007.09006,22.987354,0.90682495,SDSS DR17,,,20.963104,,Legacy DR9,,,19.235378,,Legacy DR9,,,18.807858,0.01593,DELVE DR2,,,18.261982,,Legacy DR9,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J092415.4+055628.1.png"")",J092415.4+055628.1,141.06408,5.94114,,,,,,,,0.033965085,0.0,S,SDSS DR17,105.82753,7.2672863,SDSS DR17,0.33896062,,S,Talbot et al. (2022) - arXiv:2206.09902,16.4322,0.0108054355,SDSS DR17,,,15.074193,0.002654391,SDSS DR17,,,14.265013,0.001736,DELVE DR2,,,14.110759,0.0024163988,SDSS DR17,,,13.854143,0.004119951,SDSS DR17,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J092502.6+022611.4.png"")",J092502.6+022611.4,141.26071,2.4365,,CLUSTER,GALAXY,,,,,0.390126,0.0,S,SDSS DR17,565.91504,94.692795,SDSS DR17,1.45,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,22.02032,0.31392,KiDS DR3,,,20.8292999,0.00341968425,HSC Wide DR3,,,19.0810051,0.00129382883,HSC Wide DR3,,,18.4220772,0.000830388512,HSC Wide DR3,26.97,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,18.0456734,0.00126897462,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J092559.4+081411.8.png"")",J092559.4+081411.8,141.49729,8.23661,,,,,,,,0.13445024,0.0,S,SDSS DR17,110.50636,26.328754,SDSS DR17,0.2251,,S,Bolton et al. (2008) - arXiv:0805.1931,20.587254,0.13339135,SDSS DR17,,,18.425323,,Legacy DR9,,,17.445768,,Legacy DR9,,,17.492012,0.005497,DELVE DR2,,,16.78856,,Legacy DR9,,,,,,17.66,,Bolton et al. (2008) - arXiv:0805.1931,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J092641.2+072242.5.png"")",J092641.2+072242.5,141.67171,7.37848,,,,,,,,0.07560785,0.0,S,SDSS DR17,170.80293,10.512447,SDSS DR17,0.2855,,S,Shu et al. (2017) - arXiv:1711.00072,20.049383,0.067127295,SDSS DR17,,,17.94397,,Legacy DR9,,,16.996134,,Legacy DR9,,,16.753208,0.004133,DELVE DR2,,,16.308744,,Legacy DR9,,,,,,16.57,0.1,Shu et al. (2017) - arXiv:1711.00072,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J092647.3+050003.6.png"")",J092647.3+050003.6,141.69692,5.001,,CLUSTER,GALAXY,,,,,0.46158555,0.0,S,SDSS DR17,281.535,40.548584,SDSS DR17,1.23,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,22.57864,0.8026594,SDSS DR17,,,21.4013691,0.00761652598,HSC Wide DR3,,,19.7089729,0.00365739129,HSC Wide DR3,,,18.8422222,0.00120579067,HSC Wide DR3,24.47,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,18.4165573,0.00193641637,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J093515.3+004746.0.png"")",J093515.3+004746.0,143.81358,0.7961,,CLUSTER,GALAXY,,,,,0.3582574,7.124703e-05,S,SDSS DR17,263.32913,24.82635,SDSS DR17,0.42,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,25.36996,1.7063383,SDSS DR17,,,20.9486618,0.00355779799,HSC Wide DR3,,,19.2814751,0.00119036238,HSC Wide DR3,,,18.4660378,0.000585569767,HSC Wide DR3,22.22,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,18.1038246,0.00104962313,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J093543.9-000334.8.png"")",J093543.9-000334.8,143.93298,-0.05967,Single Lens Galaxy,GALAXY,GALAXY,0.87,,,Leaf et al. (2018) - arXiv:1805.08640,0.3474553,0.0,S,SDSS DR17,418.8796,43.73724,SDSS DR17,0.467,,S,Leaf et al. (2018) - arXiv:1805.08640,22.109898,0.60962987,SDSS DR17,,,19.8428307,0.00203724694,HSC Wide DR3,,,18.2620487,0.000835728424,HSC Wide DR3,,,17.5643616,0.000407433923,HSC Wide DR3,,,17.228323,0.00068802922,HSC Wide DR3,,,,,,16.75,,Bolton et al. (2008) - arXiv:0805.1931,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J093600.8+091335.8.png"")",J093600.8+091335.8,144.00327,9.22661,Single Lens Galaxy,GALAXY,GALAXY,1.09,,,Leaf et al. (2018) - arXiv:1805.08640,0.18969856,0.0,S,SDSS DR17,238.41168,11.523771,SDSS DR17,0.588,,S,Leaf et al. (2018) - arXiv:1805.08640,20.290905,0.10374889,SDSS DR17,,,18.078678,,Legacy DR9,,,16.87392,,Legacy DR9,,,16.648344,0.0061845654,SDSS DR17,,,16.143063,,Legacy DR9,,,,,,16.52,,Bolton et al. (2008) - arXiv:0805.1931,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J093639.2+011501.3.png"")",J093639.2+011501.3,144.16333,1.25035,,,,,,,,0.02608378,0.0,S,SDSS DR17,91.008835,8.437517,SDSS DR17,0.46415755,0.00033030802,S,Talbot et al. (2022) - arXiv:2206.09902,16.497684,0.013759659,SDSS DR17,,,16.4185696,0.000376867771,HSC Wide DR3,,,15.9241085,0.000285691378,HSC Wide DR3,,,15.6837492,0.000166414247,HSC Wide DR3,,,15.5118618,0.000321941363,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J094308.6+035624.8.png"")",J094308.6+035624.8,145.78571,3.94021,,,,,,,,0.019610463,0.0,S,SDSS DR17,70.55714,21.27244,SDSS DR17,0.24470896,0.00028660483,S,Talbot et al. (2022) - arXiv:2206.09902,17.647882,0.028789407,SDSS DR17,,,17.7860489,0.00146376214,HSC Wide DR3,,,17.1960144,0.00127773685,HSC Wide DR3,,,16.8858566,0.000987536972,HSC Wide DR3,,,16.3780022,0.00156037766,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J094527.6-083857.0.png"")",J094527.6-083857.0,146.36495666666667,-8.649166666666666,,CLUSTER,GALAXY,,,,,0.1535,,,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,,,,0.551,,,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J094547.7+021851.2.png"")",J094547.7+021851.2,146.44862,2.31422,Single Lens Galaxy,GALAXY,GALAXY,,,,,0.29406312,5.313225e-05,S,SDSS DR17,191.72284,16.049429,SDSS DR17,1.2210989,,S,Talbot et al. (2020) - arXiv:2007.09006,21.777552,0.31418929,SDSS DR17,,,20.3191643,0.00218403689,HSC Wide DR3,,,18.7869816,0.000882272609,HSC Wide DR3,,,18.1093712,0.000812673243,HSC Wide DR3,,,17.7640495,0.00108450965,HSC Wide DR3,,,,,,,,,,
